Web,Tipo,Periodo,Pageviews
Ojo,Extranjero,201703,3011632
Ojo,Extranjero,201704,3167166
Ojo,Extranjero,201705,1854827
Ojo,Extranjero,201706,1523331
Ojo,Extranjero,201707,1724456
Ojo,Extranjero,201708,1627968
Ojo,Extranjero,201709,1614599
Ojo,Extranjero,201710,1379541
Ojo,Extranjero,201711,1455568
Ojo,Extranjero,201712,1188756
El Bocon,Total,201701,24166350
El Bocon,Total,201702,17920779
El Bocon,Total,201703,17222078
El Bocon,Total,201704,20666112
El Bocon,Total,201705,18242593
El Bocon,Total,201706,15030080
El Bocon,Total,201707,13939959
El Bocon,Total,201708,15262872
El Bocon,Total,201709,17934056
El Bocon,Total,201710,19442517
El Bocon,Total,201711,18658993
El Bocon,Total,201712,12187350
El Bocon,Peru,201701,20021409
El Bocon,Peru,201702,14893679
El Bocon,Peru,201703,14429666
El Bocon,Peru,201704,17110547
El Bocon,Peru,201705,15159961
El Bocon,Peru,201706,12066456
El Bocon,Peru,201707,11115927
El Bocon,Peru,201708,11967805
El Bocon,Peru,201709,13790149
El Bocon,Peru,201710,14497125
El Bocon,Peru,201711,13849628
El Bocon,Peru,201712,9087940
El Bocon,Estados Unidos,201701,1701608
El Bocon,Estados Unidos,201702,1244250
El Bocon,Estados Unidos,201703,1067171
El Bocon,Estados Unidos,201704,1324756
El Bocon,Estados Unidos,201705,1205962
El Bocon,Estados Unidos,201706,1145736
El Bocon,Estados Unidos,201707,1120115
El Bocon,Estados Unidos,201708,1326689
El Bocon,Estados Unidos,201709,1647422
El Bocon,Estados Unidos,201710,1933425
El Bocon,Estados Unidos,201711,2001760
El Bocon,Estados Unidos,201712,1399278
El Bocon,Extranjero,201701,2443333
El Bocon,Extranjero,201702,1782850
El Bocon,Extranjero,201703,1725241
El Bocon,Extranjero,201704,2230809
El Bocon,Extranjero,201705,1876670
El Bocon,Extranjero,201706,1817888
El Bocon,Extranjero,201707,1703917
El Bocon,Extranjero,201708,1968378
El Bocon,Extranjero,201709,2496485
El Bocon,Extranjero,201710,3011967
El Bocon,Extranjero,201711,2807605
El Bocon,Extranjero,201712,1700132
El Show,Total,201701,25078642
El Show,Total,201702,22723203
El Show,Total,201703,24917511
El Show,Total,201704,24022315
El Show,Total,201705,27287214
El Show,Total,201706,19370154
El Show,Total,201707,17797733
El Show,Total,201708,15027198
El Show,Total,201709,14582349
El Show,Total,201710,11942881
El Show,Total,201711,8118586
El Show,Total,201712,5249575
El Show,Peru,201701,23197520
El Show,Peru,201702,21041535
El Show,Peru,201703,23158515
El Show,Peru,201704,22326503
El Show,Peru,201705,25407990
El Show,Peru,201706,17953664
El Show,Peru,201707,16345114
El Show,Peru,201708,13749656
El Show,Peru,201709,13377266
El Show,Peru,201710,10780842
El Show,Peru,201711,7216945
El Show,Peru,201712,4661759
El Show,Estados Unidos,201701,699240
El Show,Estados Unidos,201702,625478
El Show,Estados Unidos,201703,637884
El Show,Estados Unidos,201704,607206
El Show,Estados Unidos,201705,701457
El Show,Estados Unidos,201706,537980
El Show,Estados Unidos,201707,544520
El Show,Estados Unidos,201708,497959
El Show,Estados Unidos,201709,458017
El Show,Estados Unidos,201710,477759
El Show,Estados Unidos,201711,397133
El Show,Estados Unidos,201712,260597
El Show,Extranjero,201701,1181882
El Show,Extranjero,201702,1056190
El Show,Extranjero,201703,1121112
El Show,Extranjero,201704,1088606
El Show,Extranjero,201705,1177767
El Show,Extranjero,201706,878510
El Show,Extranjero,201707,908099
El Show,Extranjero,201708,779583
El Show,Extranjero,201709,747066
El Show,Extranjero,201710,684280
El Show,Extranjero,201711,504508
El Show,Extranjero,201712,327219
Mujer Pandora,Total,201701,6718910
Mujer Pandora,Total,201702,6063025
Mujer Pandora,Total,201703,7574680
Mujer Pandora,Total,201704,6666108
